The binary number in column 1 represents the coefficients taken , 1 => +1 coefficient, 0 => -1 coefficient 
 Coefficients     Steps till sign change    Evaluated value    Traced
********************************************************************************
For n = 2
10     1     0.31783724519578205    10 => 00
11     1     3.1462643699419726    11 => 01
********************************************************************************
For n = 3
011     1     0.9101963924421828    011 => 010
101     1     1.9182307323040078    101 => 100
110     1     2.5539052226955716    110 => 100
111     2     5.382332347441762    111 => 110 => 100
********************************************************************************
For n = 4
0110     1     0.10441547991239375    0110 => 0100
0111     1     2.9328426046585845    0111 => 0101
1010     1     0.5312590104791701    1010 => 1000
1011     1     3.3596861352253606    1011 => 1001
1100     1     1.5392933503409951    1100 => 1000
1101     1     4.367720475087186    1101 => 1001
1110     2     5.0033949654787495    1110 => 1100 => 1000
1111     2     7.83182209022494    1111 => 1101 => 1001
********************************************************************************
For n = 5
00111     1     0.28709129359399377    00111 => 00110
01011     1     0.7139348241607699    01011 => 01010
01101     1     1.7219691640225951    01101 => 01100
01110     1     2.357643654414159    01110 => 01100
01111     2     5.1860707791603495    01111 => 01101 => 01100
10011     1     1.1064579607235956    10011 => 10010
10101     1     2.114492300585421    10101 => 10100
10110     1     2.7501667909769845    10110 => 10100
10111     2     5.578593915723175    10111 => 10101 => 10100
11001     1     2.541335831152197    11001 => 11000
11010     1     3.1770103215437606    11010 => 11000
11011     2     6.005437446289951    11011 => 11001 => 11000
11100     1     4.185044661405586    11100 => 11000
11101     2     7.013471786151777    11101 => 11001 => 11000
11110     2     7.64914627654334    11110 => 11100 => 11000
11111     3     10.477573401289531    11111 => 11110 => 11100 => 11000
********************************************************************************
For n = 6
001111     1     2.02379311899197    001111 => 001110
010111     1     2.4163162555547957    010111 => 010110
011010     1     0.014732661375381095    011010 => 011000
011011     1     2.843159786121572    011011 => 011001
011100     1     1.0227670012372063    011100 => 011000
011101     1     3.851194125983397    011101 => 011001
011110     1     4.486868616374961    011110 => 010110
011111     2     7.315295741121151    011111 => 011011 => 011001
100110     1     0.6209418290161826    100110 => 100100
100111     1     3.4493689537623733    100111 => 100101
101001     1     0.41211086919139506    101001 => 101000
101010     1     1.0477853595829587    101010 => 101000
101011     1     3.8762124843291494    101011 => 100011
101100     1     2.055819699444784    101100 => 101000
101101     1     4.884246824190974    101101 => 100101
101110     1     5.519921314582538    101110 => 001110
101111     2     8.34834843932873    101111 => 101110 => 001110
110001     1     0.8046340057542207    110001 => 110000
110010     1     1.4403084961457844    110010 => 110000
110011     1     4.268735620891976    110011 => 100011
110100     1     2.4483428360076096    110100 => 110000
110101     1     5.2767699607538    110101 => 100101
110110     1     5.9124444511453635    110110 => 010110
110111     2     8.740871575891555    110111 => 110110 => 010110
111000     1     2.8751863665743858    111000 => 110000
111001     1     5.703613491320576    111001 => 011001
111010     2     6.33928798171214    111010 => 110010 => 110000
111011     2     9.167715106458331    111011 => 110011 => 100011
111100     2     7.347322321573966    111100 => 111000 => 110000
111101     2     10.175749446320156    111101 => 111001 => 011001
111110     2     10.81142393671172    111110 => 110110 => 010110
111111     3     13.639851061457911    111111 => 111110 => 110110 => 010110
********************************************************************************
For n = 7
0011101     1     0.5345693356279972    0011101 => 0011100
0011110     1     1.1702438260195613    0011110 => 0011100
0011111     1     3.998670950765751    0011111 => 0011011
0100111     1     0.13274416340697348    0100111 => 0100110
0101011     1     0.5595876939737496    0101011 => 0101010
0101101     1     1.5676220338355744    0101101 => 0101100
0101110     1     2.203296524227138    0101110 => 0101100
0101111     1     5.03172364897333    0101111 => 0001111
0110011     1     0.9521108305365757    0110011 => 0110010
0110101     1     1.9601451703984    0110101 => 0110100
0110110     1     2.5958196607899637    0110110 => 0110100
0110111     1     5.424246785536155    0110111 => 0010111
0111001     1     2.3869887009651762    0111001 => 0111000
0111010     1     3.02266319135674    0111010 => 0111000
0111011     1     5.8510903161029315    0111011 => 0011011
0111100     1     4.030697531218566    0111100 => 0111000
0111101     2     6.859124655964756    0111101 => 0111001 => 0111000
0111110     2     7.4947991463563195    0111110 => 0111100 => 0111000
0111111     2     10.323226271102511    0111111 => 0111011 => 0011011
1000111     1     0.44143842378101406    1000111 => 1000110
1001011     1     0.8682819543477902    1001011 => 1001010
1001101     1     1.8763162942096154    1001101 => 1001100
1001110     1     2.511990784601179    1001110 => 1001100
1001111     1     5.340417909347369    1001111 => 0001111
1010011     1     1.2608050909106159    1010011 => 1010010
1010101     1     2.268839430772441    1010101 => 1010100
1010110     1     2.9045139211640048    1010110 => 1010100
1010111     1     5.732941045910195    1010111 => 0010111
1011001     1     2.6956829613392173    1011001 => 1011000
1011010     1     3.331357451730781    1011010 => 1011000
1011011     1     6.159784576476971    1011011 => 0011011
1011100     1     4.339391791592606    1011100 => 1011000
1011101     2     7.167818916338797    1011101 => 1011001 => 1011000
1011110     2     7.803493406730361    1011110 => 1011100 => 1011000
1011111     2     10.63192053147655    1011111 => 1011011 => 0011011
1100011     1     2.2938577891181935    1100011 => 1100010
1100100     1     0.473465004233828    1100100 => 1100000
1100101     1     3.3018921289800187    1100101 => 1100001
1100110     1     3.9375666193715824    1100110 => 1100010
